facility_id,facility_name,address,city,state,zip_code,county_name,phone_number,hospital_type,hospital_ownership,emergency_services,birthing_friendly,overall_star_rating,mort_measures_better,mort_measures_same,mort_measures_worse,safety_measures_better,safety_measures_same,safety_measures_worse,readm_measures_better,readm_measures_same,readm_measures_worse,pt_exp_measures_count,timely_care_measures_count,transformed_at,measurement_year,rating_category,performance_tier,region,rank_by_rating
250167,METHODIST HEALTHCARE - OLIVE BRANCH HOSPITAL,4250 BETHEL ROAD,OLIVE BRANCH,MS,38654,DE SOTO,(662) 932-9000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,0,5,0,1,3,0,1,4,0,8,11,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,South,145
110050,ADVENTHEALTH MURRAY,"707 OLD DALTON ELLIJAY ROAD, PO BOX 1406",CHATSWORTH,GA,30705,MURRAY,(706) 517-2031,Acute Care Hospitals,Voluntary non-profit - Private,No,,5,0,3,0,,,,1,4,0,,8,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,South,2
120006,ADVENTIST HEALTH CASTLE,640 ULUKAHIKI ST,KAILUA,HI,96734,HONOLULU,(808) 263-5015,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,5,0,5,0,1,6,0,0,10,0,8,10,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,West,3
051310,ADVENTIST HEALTH HOWARD MEMORIAL,1 MARCELA DR,WILLITS,CA,95490,MENDOCINO,(707) 456-3031,Critical Access Hospitals,Voluntary non-profit - Private,No,,5,0,3,0,0,3,0,1,5,1,8,7,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,West,4
140030,ADVOCATE SHERMAN HOSPITAL,1425 NORTH RANDALL ROAD,ELGIN,IL,60123,KANE,(847) 742-9800,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,2,5,0,2,5,0,0,10,0,8,11,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,Midwest,5
390334,AHN WEXFORD HOSPITAL,12351 PERRY HIGHWAY,WEXFORD,PA,15090,ALLEGHENY,(412) 295-3319,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,0,2,0,1,5,0,0,6,0,8,9,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,Northeast,6
050043,ALTA BATES SUMMIT MEDICAL CENTER,350 HAWTHORNE AVENUE,OAKLAND,CA,94609,ALAMEDA,(510) 655-4000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,5,1,6,0,4,3,0,2,9,0,8,10,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,West,7
380002,ASANTE THREE RIVERS MEDICAL CENTER,500 SW RAMSEY AVENUE,GRANTS PASS,OR,97527,JOSEPHINE,(541) 472-7000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,5,0,5,0,1,5,0,1,7,0,8,12,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,West,8
670056,ASCENSION  SETON HAYS,6001 KYLE PKWY,KYLE,TX,78640,HAYS,(512) 324-5000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,1,6,0,1,5,0,0,8,0,8,10,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,South,9
370235,ASCENSION ST JOHN BROKEN ARROW,1000 WEST BOISE CIRCLE,BROKEN ARROW,OK,74012,TULSA,(918) 994-8100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,5,0,2,0,0,3,0,0,6,0,8,8,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,South,10
